sample	genome	taxonomy	dispersion	fraction	containment	PTR	log2(PTR)	enzyme_consistency	n_anchors	ori_confidence	se	ci_low	ci_high	n_enzymes	n_enzymes_attempted	enzyme_fit_rate	enzymes_used	enzyme_i2	fusion_model	ori	method	n_windows	pass_qc	qc_reason	excluded	note	run	coverage
SRR28338156	GCA_041389005.1_ASM4138900v1_genomic	-	0.6994047619	0.125399091		3.051724534	1.609624742	0.4473548807	565		0.3531437229	0.9174757639	2.30177372	5	13	0.3846153846	BslFI,CjeI,CjePI,HaeIV,Hin4I	0.0	fixed		sorted_ransac	37	False	fraction 0.13 < 0.75; only 5/13 enzymes produced a fit	BaeI:only 3 windows after outlier trimming;BcgI:only 2 windows after outlier trimming;BplI:only 1 windows after outlier trimming;BsaXI:only 1 windows after outlier trimming;Bsp24I:only 3 windows after outlier trimming;CspCI:only 1 windows after outlier trimming;FalI:only 2 windows after outlier trimming;PpiI:only 4 windows after outlier trimming		SRR28338156	2.472309719
SRR28338156	GCA_041389025.1_ASM4138902v1_genomic	-	0.5662917973	0.5340299632		5.529556216	2.467163699	0.9572118599	6612		0.1389221281	2.194881331	2.739446067	11	16	0.6875	BaeI,BcgI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,FalI,HaeIV,Hin4I,PsrI	0.0	fixed		sorted_ransac	557	False	fraction 0.53 < 0.75; only 11/16 enzymes produced a fit	AlfI:only 23 anchors (< 30);AloI:only 14 anchors (< 30);BplI:only 24 anchors (< 30);CspCI:only 28 anchors (< 30);PpiI:only 11 anchors (< 30)		SRR28338156	1.453981844
SRR28338156	GCA_041389045.1_ASM4138904v1_genomic	-	0.3547968169	0.1802066883		5.521436314	2.46504361	0.8134939199	1390		0.2862907133	1.903924123	3.026163097	6	16	0.375	BsaXI,BslFI,CjeI,CjePI,HaeIV,Hin4I	0.0	fixed		sorted_ransac	94	False	fraction 0.18 < 0.75; only 6/16 enzymes produced a fit	AlfI:only 3 windows after outlier trimming;AloI:only 1 windows after outlier trimming;BaeI:only 4 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BplI:only 3 windows after outlier trimming;Bsp24I:only 3 windows after outlier trimming;CspCI:only 1 windows after outlier trimming;FalI:only 25 anchors (< 30);PpiI:only 3 windows after outlier trimming;PsrI:only 3 windows after outlier trimming		SRR28338156	1.61596403
SRR28338156	GCA_041389065.1_ASM4138906v1_genomic	-	0.4624461612	0.4201429293		4.741269079	2.245273272	0.7595993352	2568		0.1026023428	2.044176375	2.446370168	9	16	0.5625	BcgI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,FalI,HaeIV,Hin4I	0.0	fixed		sorted_ransac	194	False	fraction 0.42 < 0.75; only 9/16 enzymes produced a fit	AlfI:only 3 windows after outlier trimming;AloI:only 15 anchors (< 30);BaeI:only 11 anchors (< 30);BplI:only 14 anchors (< 30);CspCI:only 3 windows after outlier trimming;PpiI:only 3 windows after outlier trimming;PsrI:only 4 windows after outlier trimming		SRR28338156	1.316897321
SRR28338156	GCA_041389085.1_ASM4138908v1_genomic	-	0.7164021164	0.1053787232		4.069558325	2.024872225	0.04955708037	439		0.7471683794	0.5604491111	3.489295339	3	15	0.2	CjeI,CjePI,FalI	0.6671803333	random		sorted_ransac	26	False	fraction 0.11 < 0.75; enzymes disagree (p=0.05); only 3/15 enzymes produced a fit	AlfI:only 3 windows after outlier trimming;AloI:only 1 windows after outlier trimming;BaeI:only 1 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BplI:only 3 windows after outlier trimming;BsaXI:no usable standard error;BslFI:only 4 windows after outlier trimming;Bsp24I:only 2 windows after outlier trimming;HaeIV:only 2 windows after outlier trimming;Hin4I:only 3 windows after outlier trimming;PpiI:only 1 windows after outlier trimming;PsrI:only 2 windows after outlier trimming	enzymes disagree (Q=6.0, p=0.0496); largest deviation from FalI	SRR28338156	2.345651803
SRR28338156	GCA_041389105.1_ASM4138910v1_genomic	-	0.6553620434	0.2737674217		2.242833147	1.165322297	0.1423030664	530		0.2476776613	0.6798830012	1.650761593	5	13	0.3846153846	CjeI,CjePI,FalI,HaeIV,Hin4I	0.4187029274	fixed		sorted_ransac	32	False	fraction 0.27 < 0.75; only 5/13 enzymes produced a fit	AloI:only 3 windows after outlier trimming;BaeI:only 2 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BsaXI:only 1 windows after outlier trimming;BslFI:only 4 windows after outlier trimming;Bsp24I:only 3 windows after outlier trimming;PpiI:only 1 windows after outlier trimming;PsrI:only 1 windows after outlier trimming		SRR28338156	1.373062257
SRR28338156	GCA_041389125.1_ASM4138912v1_genomic	-	0.6967256494	0.313245813		3.613124925	1.853247137	0.4698692852	571		0.2263907362	1.409529448	2.296964827	5	13	0.3846153846	BslFI,CjeI,CjePI,HaeIV,Hin4I	0.0	fixed		sorted_ransac	39	False	fraction 0.31 < 0.75; only 5/13 enzymes produced a fit	AloI:only 1 windows after outlier trimming;BaeI:only 3 windows after outlier trimming;BcgI:only 3 windows after outlier trimming;BplI:only 1 windows after outlier trimming;BsaXI:only 2 windows after outlier trimming;Bsp24I:only 26 anchors (< 30);FalI:only 4 windows after outlier trimming;PpiI:only 1 windows after outlier trimming		SRR28338156	1.304685887
SRR28338156	GCA_041389145.1_ASM4138914v1_genomic	-	0.6077565877	0.3282557895		5.205274665	2.379974292	0.1512675156	2550		0.1760121868	2.034996745	2.724951839	7	16	0.4375	BsaXI,BslFI,CjeI,CjePI,FalI,HaeIV,Hin4I	0.3630995786	fixed		sorted_ransac	167	False	fraction 0.33 < 0.75; only 7/16 enzymes produced a fit	AlfI:only 3 windows after outlier trimming;AloI:only 2 windows after outlier trimming;BaeI:no usable standard error;BcgI:only 3 windows after outlier trimming;BplI:only 2 windows after outlier trimming;Bsp24I:no usable standard error;CspCI:only 2 windows after outlier trimming;PpiI:only 2 windows after outlier trimming;PsrI:only 2 windows after outlier trimming		SRR28338156	1.517190217
SRR28338156	GCA_041389165.1_ASM4138916v1_genomic	-	0.6232243837	0.4100822786		5.714817473	2.514707421	0.7709434891	7667		0.1679064469	2.185616832	2.843798009	10	16	0.625	AloI,BcgI,BplI,BsaXI,BslFI,CjeI,CjePI,HaeIV,Hin4I,PpiI	0.0	fixed		sorted_ransac	556	False	fraction 0.41 < 0.75; only 10/16 enzymes produced a fit	AlfI:no usable standard error;BaeI:only 11 anchors (< 30);Bsp24I:no usable standard error;CspCI:only 21 anchors (< 30);FalI:no usable standard error;PsrI:only 8 anchors (< 30)		SRR28338156	1.46072515
SRR28338156	GCA_041389185.1_ASM4138918v1_genomic	-	4.117882533	0.9976242417		2.820803307	1.496106071	0.9870235844	18189		0.08348654839	1.332475443	1.659736699	16	16	1.0	AlfI,AloI,BaeI,BcgI,BplI,BsaXI,BslFI,Bsp24I,CjeI,CjePI,CspCI,FalI,HaeIV,Hin4I,PpiI,PsrI	0.0	fixed		sorted_ransac	2551	True		-		SRR28338156	34.04500909
