run	genome	log2(PTR)	pass_qc	n_enzymes	old_log2ptr	old_pass_qc	old_n_enzymes	_merge	d_log2ptr	same_pass_qc
SRR28338156	GCA_041389005.1_ASM4138900v1_genomic	1.609624742	False	5	0.4920985009	False	3.0	both	1.1175262411	True
SRR28338156	GCA_041389025.1_ASM4138902v1_genomic	2.467163699	False	11	0.2462819175	False	7.0	both	2.2208817814999997	True
SRR28338156	GCA_041389045.1_ASM4138904v1_genomic	2.46504361	False	6	0.8093363722	False	3.0	both	1.6557072378	True
SRR28338156	GCA_041389065.1_ASM4138906v1_genomic	2.245273272	False	9	0.496401533	False	7.0	both	1.748871739	True
SRR28338156	GCA_041389085.1_ASM4138908v1_genomic	2.024872225	False	3	1.71196278	False	3.0	both	0.3129094450000003	True
SRR28338156	GCA_041389105.1_ASM4138910v1_genomic	1.165322297	False	5	0.2126618065	False	3.0	both	0.9526604904999999	True
SRR28338156	GCA_041389125.1_ASM4138912v1_genomic	1.853247137	False	5	0.6864663384	False	4.0	both	1.1667807986	True
SRR28338156	GCA_041389145.1_ASM4138914v1_genomic	2.379974292	False	7	0.9727365033	False	3.0	both	1.4072377886999998	True
SRR28338156	GCA_041389165.1_ASM4138916v1_genomic	2.514707421	False	10	0.2707046896	False	8.0	both	2.2440027314	True
SRR28338156	GCA_041389185.1_ASM4138918v1_genomic	1.496106071	True	16	0.1610830492	True	14.0	both	1.3350230218	True
SRR28338156	GCA_041389205.1_ASM4138920v1_genomic	4.532765085	True	16	4.532765085	True	16.0	both	0.0	True
SRR28338156	GCA_041389225.1_ASM4138922v1_genomic	2.700712315	False	9	0.6269755055	False	6.0	both	2.0737368095	True
SRR28338156	GCA_041389245.1_ASM4138924v1_genomic	1.246191935	False	16	0.06349950624	False	11.0	both	1.1826924287599998	True
SRR28338156	GCA_041389265.1_ASM4138926v1_genomic	1.687182447	True	16	0.06645429803	False	9.0	both	1.62072814897	False
SRR28338156	GCA_041389285.1_ASM4138928v1_genomic	2.473316576	False	16	0.2124752323	False	8.0	both	2.2608413437	True
SRR28338156	GCA_041389305.1_ASM4138930v1_genomic	2.459540613	False	7	0.1469985964	False	5.0	both	2.3125420166	True
SRR28338156	GCA_041389325.1_ASM4138932v1_genomic	0.8420505272	False	16	0.115478178	True	14.0	both	0.7265723491999999	False
SRR28338156	GCA_041389345.1_ASM4138934v1_genomic	1.636656711	False	16	0.1356640717	False	8.0	both	1.5009926393000002	True
SRR28338156	GCA_041389365.1_ASM4138936v1_genomic	4.527472621	False	16	4.527472621	False	16.0	both	0.0	True
SRR28338156	GCA_041389385.1_ASM4138938v1_genomic	1.675559483	False	16	0.3018268497	False	16.0	both	1.3737326333	True
SRR28338156	GCA_041389405.1_ASM4138940v1_genomic	2.569438309	False	9	2.567893794	False	9.0	both	0.0015445149999999686	True
SRR28338156	GCA_041389425.1_ASM4138942v1_genomic	1.998912943	False	15	0.1128413324	False	9.0	both	1.8860716106000002	True
SRR28338156	GCA_041389445.1_ASM4138944v1_genomic	1.789070106	False	16	0.09192183128	False	10.0	both	1.69714827472	True
SRR28338156	GCA_041389465.1_ASM4138946v1_genomic	2.896958609	False	12	0.8375905948	False	4.0	both	2.0593680142	True
SRR28338156	GCA_041389485.1_ASM4138948v1_genomic	2.513681273	False	16	0.1470454948	False	10.0	both	2.3666357782	True
SRR28338156	GCA_041389495.1_ASM4138949v1_genomic	1.471203872	False	15	0.09105623977	False	10.0	both	1.38014763223	True
SRR28338156	GCA_041389525.1_ASM4138952v1_genomic	2.713245715	False	13	2.713754149	False	13.0	both	-0.0005084340000003351	True
SRR28338156	GCA_041389545.1_ASM4138954v1_genomic	2.136208249	False	14	2.135755181	False	14.0	both	0.00045306800000011194	True
SRR28338156	GCA_041389565.1_ASM4138956v1_genomic	2.577174929	False	15	0.1780003235	False	10.0	both	2.3991746055	True
SRR28338156	GCA_041389585.1_ASM4138958v1_genomic	1.769947925	False	16	0.04957494874	False	7.0	both	1.7203729762600002	True
SRR28338156	GCA_041389605.1_ASM4138960v1_genomic	2.496978424	False	9	0.4817931467	False	6.0	both	2.0151852773	True
SRR28338156	GCA_041389625.1_ASM4138962v1_genomic	2.54924508	False	14	0.2152094203	False	9.0	both	2.3340356597	True
SRR28338156	GCA_041389635.1_ASM4138963v1_genomic	2.445468625	False	14	2.441338159	False	14.0	both	0.004130466000000332	True
SRR28338156	GCA_041389665.1_ASM4138966v1_genomic	2.674437777	False	15	2.674634552	False	15.0	both	-0.0001967750000000379	True
SRR28338156	GCA_041389685.1_ASM4138968v1_genomic	2.628112321	False	14	0.1133615508	False	5.0	both	2.5147507702	True
SRR28338156	GCA_041389705.1_ASM4138970v1_genomic	2.009726118	True	16	2.009644717	True	16.0	both	8.140100000009198e-05	True
SRR28338156	GCA_041389725.1_ASM4138972v1_genomic	2.544907271	False	16	0.1715976201	False	8.0	both	2.3733096509	True
SRR28338156	GCA_041389745.1_ASM4138974v1_genomic	2.303278674	False	16	0.141699227	False	11.0	both	2.161579447	True
SRR28338156	GCA_041389765.1_ASM4138976v1_genomic	1.950562239	True	16	1.950332174	True	16.0	both	0.00023006500000000152	True
SRR28338156	GCA_041389785.1_ASM4138978v1_genomic	1.518925551	False	16	0.09320140435	False	12.0	both	1.42572414665	True
SRR28338156	GCA_041389805.1_ASM4138980v1_genomic	1.688567425	True	16	1.688366921	True	16.0	both	0.00020050399999993473	True
SRR28338156	GCA_041389825.1_ASM4138982v1_genomic	2.233119971	False	14	2.233570533	False	14.0	both	-0.00045056200000015423	True
SRR28338156	GCA_041389845.1_ASM4138984v1_genomic	1.864769	True	16	1.864736554	True	16.0	both	3.244599999985276e-05	True
SRR28338156	GCA_041389865.1_ASM4138986v1_genomic	1.791901262	False	16	1.792155788	False	16.0	both	-0.00025452599999997716	True
SRR28338156	GCA_041389885.1_ASM4138988v1_genomic	2.425994198	False	14	0.1098474841	False	6.0	both	2.3161467139000003	True
SRR28338156	GCA_041389905.1_ASM4138990v1_genomic	1.901195212	False	16	1.901934501	False	16.0	both	-0.0007392889999999763	True
SRR28338156	GCA_041389925.1_ASM4138992v1_genomic	2.002840444	False	16	0.167781269	False	6.0	both	1.8350591749999998	True
SRR28338156	GCA_041389945.1_ASM4138994v1_genomic	2.750785342	False	14	0.2300875552	False	10.0	both	2.5206977868	True
SRR28338156	GCA_041389965.1_ASM4138996v1_genomic	2.586817227	False	14	0.2519341406	False	5.0	both	2.3348830864	True
SRR28338156	GCA_041389985.1_ASM4138998v1_genomic	2.65229795	False	13	0.4869477428	False	5.0	both	2.1653502072	True
SRR28338156	GCA_041390005.1_ASM4139000v1_genomic	2.650764937	False	9	2.654579	False	9.0	both	-0.0038140630000000897	True
SRR28338156	GCA_041390025.1_ASM4139002v1_genomic	2.382407053	False	16	0.2476618353	False	7.0	both	2.1347452177	True
SRR28338156	GCA_041390045.1_ASM4139004v1_genomic	2.673596632	False	14	2.673286075	False	14.0	both	0.0003105570000001556	True
SRR28338156	GCA_041390065.1_ASM4139006v1_genomic	2.344542938	False	14	0.2025919659	False	11.0	both	2.1419509721	True
SRR28338156	GCA_041390085.1_ASM4139008v1_genomic	2.045006819	False	15	0.1740436407	False	9.0	both	1.8709631783000003	True
