file	accession	organism	n_contigs	total_len	domain	mag	n50	Completeness	Contamination	genome	n_qc_pass	n	qc_rate_current	mean_cov	med_cov	max_cov
GCA_041389005.1_ASM4138900v1_genomic.fna	GCA_041389005.1	Minisyncoccota bacterium (bacteria)	12	720850	Bacteria	GCA_041389005.1_ASM4138900v1_genomic	100969	78.28	0.93	GCA_041389005.1_ASM4138900v1_genomic	0	9	0.0	2.3228319505555555	2.057436436	4.369422129
GCA_041389025.1_ASM4138902v1_genomic.fna	GCA_041389025.1	Minisyncoccota bacterium (bacteria)	11	1037391	Bacteria	GCA_041389025.1_ASM4138902v1_genomic	622966	98.66	2.25	GCA_041389025.1_ASM4138902v1_genomic	0	9	0.0	2.7586913794444445	2.506842125	6.096239015
GCA_041389045.1_ASM4138904v1_genomic.fna	GCA_041389045.1	Minisyncoccota bacterium (bacteria)	4	836425	Bacteria	GCA_041389045.1_ASM4138904v1_genomic	237115	85.88	0.34	GCA_041389045.1_ASM4138904v1_genomic	0	9	0.0	2.108716451333333	1.810688222	3.522488216
GCA_041389065.1_ASM4138906v1_genomic.fna	GCA_041389065.1	Minisyncoccota bacterium (bacteria)	9	525725	Bacteria	GCA_041389065.1_ASM4138906v1_genomic	134277	75.81	0.66	GCA_041389065.1_ASM4138906v1_genomic	0	9	0.0	1.7156156358888888	1.504865542	2.612910777
GCA_041389085.1_ASM4138908v1_genomic.fna	GCA_041389085.1	Minisyncoccota bacterium (bacteria)	13	609573	Bacteria	GCA_041389085.1_ASM4138908v1_genomic	312629	93.82	0.19	GCA_041389085.1_ASM4138908v1_genomic	0	9	0.0	2.362868083375	2.2221264705	4.587194781
GCA_041389105.1_ASM4138910v1_genomic.fna	GCA_041389105.1	Minisyncoccota bacterium (bacteria)	8	640191	Bacteria	GCA_041389105.1_ASM4138910v1_genomic	143066	62.34	2.37	GCA_041389105.1_ASM4138910v1_genomic	0	9	0.0	1.586023745875	1.553357579	2.079732587
GCA_041389125.1_ASM4138912v1_genomic.fna	GCA_041389125.1	Minisyncoccota bacterium (bacteria)	8	625355	Bacteria	GCA_041389125.1_ASM4138912v1_genomic	381443	78.0	0.92	GCA_041389125.1_ASM4138912v1_genomic	0	9	0.0	1.5384213171428571	1.527815793	1.938725095
GCA_041389145.1_ASM4138914v1_genomic.fna	GCA_041389145.1	Patescibacteria group bacterium (bacteria)	13	542021	Bacteria	GCA_041389145.1_ASM4138914v1_genomic	68009	84.91	0.0	GCA_041389145.1_ASM4138914v1_genomic	0	9	0.0	2.7322366986666666	1.566936445	7.165309298
GCA_041389165.1_ASM4138916v1_genomic.fna	GCA_041389165.1	Candidatus Altimarinota bacterium (bacteria)	8	1309946	Bacteria	GCA_041389165.1_ASM4138916v1_genomic	256965	97.34	0.59	GCA_041389165.1_ASM4138916v1_genomic	0	9	0.0	2.1483809320000002	1.701592289	4.485971186
GCA_041389185.1_ASM4138918v1_genomic.fna	GCA_041389185.1	Nitrospirales bacterium (bacteria)	52	4307141	Bacteria	GCA_041389185.1_ASM4138918v1_genomic	235174	96.62	4.57	GCA_041389185.1_ASM4138918v1_genomic	3	9	0.3333333333333333	22.003767494	24.87450484	50.6254455
