comparison	sample	n	r	ccc	bias	loa_lo	loa_hi	range_x	range_y
B_vs_C	S01	18	0.2968	0.1857	-0.7296	-4.4458	2.9865	0.08..7.73	0.04..2.55
B_vs_C	S06	18	0.4355	0.1915	-1.2105	-6.4515	4.0304	0.14..10.84	0.05..2.33
B_vs_C	S07	20	0.6036	0.3081	-0.6306	-5.5676	4.3064	0.03..10.45	0.17..3.16
B_vs_C	ALL	56	0.4553	0.2376	-0.8488	-5.4778	3.7801	0.03..10.84	0.04..3.16
A_default_vs_B	S01	58	0.4308	0.3133	0.2473	-0.4185	0.9131	0.04..1.45	0.32..1.74
A_gatesoff_vs_B	S01	381	0.0952	0.0705	-0.9325	-6.3628	4.4979	0.00..15.86	0.00..13.70
A_default_vs_B	S06	68	0.3439	0.2526	0.2215	-0.4450	0.8880	0.01..1.45	0.28..1.23
A_gatesoff_vs_B	S06	459	0.0053	0.0031	-1.1532	-7.8117	5.5053	0.01..35.46	0.00..8.00
A_default_vs_B	S07	78	0.5054	0.3681	0.2246	-0.4331	0.8824	0.03..1.49	0.30..1.36
A_gatesoff_vs_B	S07	403	0.0463	0.0262	-1.2375	-7.5615	5.0866	0.00..27.21	0.00..10.85
