arm	planted	enzyme	real_log2ptr	real_r2	null_mean	null_sd	null_q05	null_q95	frac_real_above_null_mean	n_windows
enzyme	0.5000	AlfI	0.1520	-0.0615	0.0939	0.0685	0.0074	0.2269	1.0000	98
enzyme	0.5000	AloI	0.2285	-0.0671	0.1785	0.1153	0.0186	0.4068	1.0000	79
enzyme	0.5000	BaeI	0.2032	-0.0245	0.1223	0.0738	0.0187	0.2556	1.0000	92
enzyme	0.5000	BcgI	0.1345	-0.0795	0.0671	0.0437	0.0098	0.1500	1.0000	99
enzyme	0.5000	BplI	0.0131	-0.1158	0.1611	0.1015	0.0140	0.3502	0.0000	82
enzyme	0.5000	BsaXI	0.2026	0.0203	0.0909	0.0633	0.0055	0.2164	1.0000	93
enzyme	0.5000	BslFI	0.0301	-0.0383	0.0872	0.0601	0.0074	0.2040	0.0000	97
enzyme	0.5000	Bsp24I	0.1964	-0.1204	0.0931	0.0590	0.0104	0.1958	1.0000	97
enzyme	0.5000	CjeI	0.1652	-0.0011	0.0620	0.0340	0.0132	0.1229	1.0000	134
enzyme	0.5000	CjePI	0.1958	-0.0028	0.0625	0.0405	0.0097	0.1348	1.0000	126
enzyme	0.5000	CspCI	0.4232	-0.0033	0.1497	0.0974	0.0139	0.3213	1.0000	87
enzyme	0.5000	FalI	0.2524	-0.1104	0.1233	0.0880	0.0127	0.2922	1.0000	93
enzyme	0.5000	HaeIV	0.1617	0.0224	0.0758	0.0487	0.0103	0.1685	1.0000	120
enzyme	0.5000	Hin4I	0.1724	0.0479	0.0719	0.0488	0.0087	0.1662	1.0000	112
enzyme	0.5000	PpiI	0.4228	0.0752	0.1708	0.1110	0.0244	0.3925	1.0000	74
enzyme	0.5000	PsrI	0.1968	-0.0334	0.1586	0.0953	0.0213	0.3280	1.0000	82
enzyme	1.0000	AlfI	0.4920	0.0464	0.1622	0.1057	0.0090	0.3649	1.0000	98
enzyme	1.0000	AloI	0.4302	-0.1780	0.2170	0.1296	0.0327	0.4422	1.0000	79
enzyme	1.0000	BaeI	0.2655	-0.0791	0.1522	0.1011	0.0170	0.3541	1.0000	92
enzyme	1.0000	BcgI	0.3558	-0.1213	0.1471	0.0924	0.0211	0.3120	1.0000	99
enzyme	1.0000	BplI	0.5069	-0.0821	0.2278	0.1502	0.0292	0.4868	1.0000	82
enzyme	1.0000	BsaXI	0.2601	-0.1250	0.1618	0.1089	0.0115	0.3644	1.0000	93
enzyme	1.0000	BslFI	0.4032	-0.0680	0.1463	0.1023	0.0184	0.3479	1.0000	97
enzyme	1.0000	Bsp24I	0.4166	-0.0248	0.1507	0.1038	0.0139	0.3469	1.0000	97
enzyme	1.0000	CjeI	0.4071	-0.0128	0.1116	0.0677	0.0210	0.2400	1.0000	134
enzyme	1.0000	CjePI	0.3546	-0.0600	0.1115	0.0716	0.0157	0.2360	1.0000	126
enzyme	1.0000	CspCI	0.3517	0.0004	0.1526	0.1002	0.0242	0.3430	1.0000	87
enzyme	1.0000	FalI	0.3856	-0.0923	0.1909	0.1262	0.0222	0.4017	1.0000	93
enzyme	1.0000	HaeIV	0.4109	-0.0117	0.1073	0.0709	0.0139	0.2302	1.0000	120
enzyme	1.0000	Hin4I	0.3608	-0.1005	0.1262	0.0787	0.0122	0.2708	1.0000	112
enzyme	1.0000	PpiI	0.3147	-0.1149	0.1970	0.1276	0.0323	0.4278	1.0000	74
enzyme	1.0000	PsrI	0.0707	-0.1179	0.1853	0.1209	0.0275	0.4147	0.0000	82
enzyme	2.0000	AlfI	0.6536	-0.1032	0.2595	0.1657	0.0547	0.5723	1.0000	98
enzyme	2.0000	AloI	0.7348	-0.1668	0.3142	0.1971	0.0414	0.6914	1.0000	79
enzyme	2.0000	BaeI	0.6391	-0.3039	0.3621	0.2296	0.0500	0.7857	1.0000	92
enzyme	2.0000	BcgI	0.7339	-0.1749	0.2787	0.1731	0.0393	0.5687	1.0000	99
enzyme	2.0000	BplI	0.7674	-0.1832	0.3297	0.2193	0.0305	0.6924	1.0000	82
enzyme	2.0000	BsaXI	0.7227	-0.1765	0.2781	0.1743	0.0280	0.6182	1.0000	93
enzyme	2.0000	BslFI	0.7463	-0.3204	0.3179	0.1913	0.0426	0.6413	1.0000	97
enzyme	2.0000	Bsp24I	0.6301	-0.2944	0.2716	0.1730	0.0340	0.5832	1.0000	97
enzyme	2.0000	CjeI	0.7342	-0.1738	0.1967	0.1183	0.0310	0.3947	1.0000	134
enzyme	2.0000	CjePI	0.6718	-0.2088	0.2091	0.1229	0.0436	0.4289	1.0000	126
enzyme	2.0000	CspCI	0.9419	0.0052	0.2760	0.1846	0.0287	0.6164	1.0000	87
enzyme	2.0000	FalI	0.6034	-0.2507	0.3006	0.1824	0.0351	0.6313	1.0000	93
enzyme	2.0000	HaeIV	0.8391	-0.1776	0.2444	0.1387	0.0431	0.5173	1.0000	120
enzyme	2.0000	Hin4I	0.8371	-0.2144	0.2398	0.1510	0.0178	0.5132	1.0000	112
enzyme	2.0000	PpiI	0.6962	-0.1851	0.3486	0.1989	0.0621	0.6645	1.0000	74
enzyme	2.0000	PsrI	0.7479	-0.2290	0.3389	0.2036	0.0500	0.6585	1.0000	82
sketch	0.5000	FracMinHash	0.1623	0.0583	0.0366	0.0170	0.0111	0.0675	1.0000	466
sketch	1.0000	FracMinHash	0.3385	0.0293	0.0599	0.0330	0.0143	0.1254	1.0000	466
sketch	2.0000	FracMinHash	0.7266	-0.0552	0.1110	0.0592	0.0239	0.2162	1.0000	466
