dataset	project	run	sample	label	assay	enzyme_note
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960534	MIBC_11T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960535	MIBC_02T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960515	MIBC_10T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960520	MIBC_05T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960521	MIBC_04T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960524	MIBC_03T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960526	NMIBC_17T	NMIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960528	NMIBC_15T	NMIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960529	NMIBC_6T	NMIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960536	MIBC_01T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960532	MIBC_13T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960516	MIBC_09T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960518	MIBC_07T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960523	NMIBC_19T	NMIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960525	NMIBC_18T	NMIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960531	MIBC_14T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960533	MIBC_12T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960517	MIBC_08T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960519	MIBC_06T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
